,Cat_ust,Cha_gou,Chl_cal,Chl_fla,Coe_fla,Dac_lin,Dix_pip,Eub_bou,Eup_lan,Eup_xan,Lep_isi,Mac_reg,Pip_ery,Rup_per,Tan_art,Tan_chi,Tan_chr,Tan_cya,Tan_gyr,Tan_nig,Tan_pun,Tan_sch,Tan_xag
cascada,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cec_101,1,0,0,0,3,0,0,0,0,3,0,0,0,0,14,1,3,0,0,0,0,0,0
Lor_100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_100,0,0,1,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0
Mic_106,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mic_107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0
Mic_112,0,0,2,20,0,6,1,0,0,0,1,2,0,0,0,27,2,21,4,0,13,12,2
Mic_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,2,0
Mic_116,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Rub_100,5,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,1,0
Sch_100,0,0,9,22,0,0,1,0,3,9,0,0,0,0,2,5,0,4,1,0,1,7,0
