,Cat_ust,Chl_cal,Chl_can,Chl_fla,Chl_spi,Coe_fla,Dac_lin,Dix_pip,Eub_bou,Eup_lan,Eup_xan,Hem_fro,Hem_sup,Het_xan,Lep_isi,Par_pit,Pio_men,Pip_ery,Pip_fro,Pyr_alb,Sal_gro,Tac_cri,Tan_art,Tan_chi,Tan_chr,Tan_cya,Tan_gyr,Tan_nig,Tan_pun,Tan_sch,Tan_xag,Thr_epi
Dac_100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0
Ind_100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ind_101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_100,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mic_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,2,0,0,0,0,0
Mic_106,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,3,5,0,3,1,0,0
Mic_115,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_116,8,0,0,3,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,8,2,12,4,0,2,0,0,0
Mol_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rub_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sch_100,0,3,5,5,2,1,1,0,0,6,7,0,1,1,0,2,0,0,0,0,0,0,6,15,8,8,12,2,9,12,1,5
Ure_100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
