,Cac_uro,Cat_ust,Cha_gou,Chl_cal,Chl_can,Chl_fla,Chl_spi,Coe_fla,Col_sub,Dac_cay,Dac_lin,Dix_pip,Eub_bou,Eup_lan,Eup_xan,Hem_fro,Hem_sup,Het_xan,Iri_pul,Lep_isi,Lep_sup,Mac_reg,Mya_ral,Myi_cep,Par_pit,Pio_men,Pip_ery,Pip_fro,Pla_leu,Psa_ang,Pyr_alb,Rup_per,Sal_gro,Sal_max,Tac_cri,Tan_art,Tan_chi,Tan_chr,Tan_cya,Tan_gyr,Tan_nig,Tan_niv,Tan_pun,Tan_sch,Tan_xag,Tan_xan,Thr_epi,Thr_pal,Tur_alb,Tur_flu,Tur_nig
Alc_100,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,4,3,0,0,0,0,0,0,0
cascada,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cec_101,1,1,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0
Dac_100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Ind_100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ind_101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ind_102,0,0,0,3,0,0,0,0,0,2,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,29,0,0,0,25,20,3,0,0,0,0,0,0
Ind_103,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0
Ind_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lor_100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_100,0,2,0,1,0,45,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Mic_101,1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,0,7,3,0,0,6,0,0,0,0,0,0,0,0
Mic_106,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,6,6,0,0,7,2,3,0,0,0,0,0,0
Mic_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Mic_108,2,70,0,8,1,81,1,0,0,0,13,32,0,0,39,0,0,0,3,10,0,12,2,0,0,0,5,9,0,30,0,5,0,9,0,30,75,6,72,60,0,9,47,62,0,1,0,5,22,7,1
Mic_111,0,0,0,3,0,42,1,0,0,2,0,0,0,0,2,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,5,2,0,9,10,0,0,0,0,1,0,0
Mic_112,0,0,0,8,13,71,0,2,0,0,15,4,0,0,0,0,0,0,0,6,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,3,64,2,41,4,0,0,39,28,4,0,0,5,1,0,0
Mic_115,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,2,0,0,0,0,0,0,0
Mic_116,0,8,0,1,0,8,0,0,0,0,0,4,0,0,2,0,0,0,0,10,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,8,2,12,4,0,0,2,2,0,0,0,0,0,0,0
Mic_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mol_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myr_cor,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Pip_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rub_100,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Sch_100,0,0,0,12,5,32,2,1,0,0,1,1,0,9,17,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9,20,8,12,13,2,0,11,19,1,0,5,0,0,0,0
Ure_100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
