,Amm_aur,Arr_aur,Cat_ust,Chl_cal,Chl_can,Chl_fla,Chl_spi,Cis_lev,Coe_fla,Col_plu,Dac_cay,Dac_fla,Dac_lin,Dry_lin,Eup_lan,Eup_xan,Hem_gui,Lat_sub,Lep_isi,Lep_sup,Mac_reg,Mio_str,Mya_ral,Myi_cep,Myi_gra,Par_pit,Pip_chl,Pip_ery,Psa_ang,Psa_dec,Pyr_alb,Ram_car,Rup_per,Sal_max,Tac_cri,Tac_ruf,Tan_art,Tan_chi,Tan_chr,Tan_cya,Tan_gyr,Tan_nig,Tan_niv,Tan_pun,Tan_sch,Tan_xag,Tan_xan,Ter_vir,Thr_cya,Thr_epi,Thr_pal,Tro_col,Tur_alb,Tyr_mel
Cec_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cec_101,0,0,1,0,0,3,4,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,18,12,0,1,1,0,0,0,13,19,11,20,12,0,2,4,5,2,2,0,0,2,5,0,0,0
Ing_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_108,0,0,0,1,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,5,6,0,3,0,0,0,0,0,0,0
Mic_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0
Mic_111,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,5,0,0,6,1,2,0,0,0,0,0,0,0,0
Mic_112,0,0,0,2,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,0,8,2,0,0,13,2,9,0,0,0,0,0,0,0,0
Mic_116,0,2,3,0,0,15,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,2,10,9,7,0,3,0,0,1,0,7,14,8,23,13,0,2,10,7,2,1,0,0,1,0,0,3,0
Mol_100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myr_cor,1,1,1,0,5,0,9,2,0,9,3,1,13,1,3,4,5,1,0,5,1,0,0,1,1,2,0,12,4,3,0,2,0,3,3,1,9,33,6,37,10,2,2,30,22,7,0,3,1,1,4,5,3,1
