,Amm_aur,Cac_uro,Chl_cal,Chl_can,Chl_fla,Chl_spi,Cis_lev,Coe_fla,Cya_ync,Dac_cay,Dac_lin,Eub_bou,Eup_lan,Eup_xan,Hem_gui,Hyl_oli,Iri_ana,Iri_pul,Mac_reg,Mio_oli,Myi_sim,Ort_gut,Par_pit,Pip_ery,Pog_poe,Psa_ang,Psa_dec,Pyr_alb,Ram_car,Sal_max,Tac_sur,Tan_art,Tan_chi,Tan_chr,Tan_cya,Tan_gyr,Tan_mex,Tan_nig,Tan_niv,Tan_pun,Tan_ruf,Tan_sch,Tan_vir,Tan_xag,Tan_xan,Ter_vir,Thr_epi,Thr_pal,Tit_sem,Tur_alb,Tur_flu,Tur_ign,Tyr_mel,Vol_jac
Cec_101,0,0,0,2,0,10,1,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,20,11,0,1,0,0,6,6,0,8,41,0,3,0,8,0,12,0,0,1,0,7,2,1,1,0,0,0,0
Cec_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ind_106,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,20,51,0,0,0,6,0,10,0,0,0,0,0,0,0,0,1,0,0,0
Ing_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mic_112,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Mic_116,1,1,0,0,18,4,2,0,3,0,4,0,2,5,2,0,0,0,1,0,1,7,0,0,0,21,27,104,2,0,0,9,36,5,67,19,1,4,5,26,0,27,0,5,1,1,6,4,0,3,0,0,0,0
Mik_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myr_cor,0,2,0,1,0,8,3,2,5,0,31,1,0,0,0,0,0,0,0,2,3,2,5,2,1,0,0,0,2,2,1,1,76,8,37,5,0,5,0,13,1,10,3,1,0,0,9,11,1,0,0,1,2,4
Pip_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
Sip_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tib_oxy,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
