,Amm_aur,Arr_aur,Cac_uro,Cat_ust,Chl_cal,Chl_can,Chl_fla,Chl_spi,Cis_lev,Coe_fla,Col_plu,Col_sub,Cya_ync,Dac_cay,Dac_fla,Dac_lin,Dry_lin,Eub_bou,Eup_lan,Eup_xan,Hem_gui,Hyl_oli,Iri_ana,Iri_pul,Lat_sub,Lep_isi,Lep_sup,Mac_reg,Man_man,Mio_oli,Mio_str,Mya_ral,Myi_cep,Myi_gra,Myi_sim,Ort_gut,Par_pit,Pip_chl,Pip_ery,Pir_leu,Pog_poe,Psa_ang,Psa_dec,Pyr_alb,Ram_car,Rup_per,Sal_max,Say_nig,Tac_cri,Tac_ruf,Tac_sur,Tan_art,Tan_chi,Tan_chr,Tan_cya,Tan_gyr,Tan_mex,Tan_nig,Tan_niv,Tan_pun,Tan_ruf,Tan_sch,Tan_vir,Tan_xag,Tan_xan,Ter_vir,Thr_cya,Thr_epi,Thr_pal,Tit_sem,Tro_col,Tur_alb,Tur_flu,Tur_ign,Tyr_mel,Vol_jac
Cec_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cec_101,0,0,0,1,0,4,7,14,1,1,0,0,0,0,0,10,0,0,9,7,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,38,24,0,3,1,0,0,0,0,0,19,43,14,58,70,0,6,2,22,0,32,0,7,3,0,0,20,11,1,0,1,0,0,0,0
Cec_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dac_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ind_106,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,20,51,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ing_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ing_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ise_lae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
