,Ani_som,Atl_lat,Aul_pra,Bas_tri,Chl_oph,Col_fas,Cre_ver,Cya_ync,Iri_ana,Lep_lac,Myi_min,Pen_bar,Pip_rie,Rup_per,Tan_lab,Tan_niv,Tan_par,Tan_vas,Tan_vir,Tan_xan,Thr_cya
Cec_and,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cec_ang,9,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,4,0,0,4,0
Ced_neb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cle_rev,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colibris,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Esc_pan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ise_lae,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mic_201,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_pun,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_the,8,0,0,0,1,0,0,2,2,0,1,0,1,0,2,7,0,3,1,4,1
Sip_asp,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vib_obt,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,2
