,X,Site,Elevation,Habitat,degree,species.strength,nestedrank,PDI,resource.range,PSI,betweenness,weighted.betweenness,closeness,weighted.closeness,effective.partners,proportional.similarity,d,Clase,Family,Genus,species,X.y,Fruit_Weight,Fruit_length,Fruit_Width,Seed_Weight,Seed_length,Seed_width,nFruits,nSeed,Plant_Heigth,rlq1,rlq2,rlq1W,rlq2W
1,Alc_100,Bombuscaro,1000,A_Nat,9,0.200403979788623,0.36,0.93,0.84,1,0.012844611528822,0,0.04320987654321,0.01116879037265,8.09412817894855,0.547050307636627,0.103190630731175,Plant,Euphorbiaceae,Alchornea,100,1,0.1608,6.053333333,7.113333333,0.653,3.44,3.44,14,2.8,8,0.075703157889256,0.377003189036196,0.480954145080392,-0.09114784184709
2,cascada,Bombuscaro,1000,A_Nat,2,1.14285714285714,0.72,0.99,0.98,1,0,0,0.026748971193416,0.000932018726444,1.88988157484231,0.004885993485342,0.881674200321994,Plant,Indet,Indet,400,2,3,7.5,3.5,0.05,2.5,0.5,5,20,10,1.71448693753607,-2.29795056378923,-2.0959690523718,0.473493259659413
3,Cec_101,Bombuscaro,1000,A_Nat,10,2.09024829000318,0.28,0.973333333333333,0.82,1,0.012844611528822,0,0.04320987654321,0.015408472441429,6.31373048085351,0.269008841321545,0.427484412540742,Plant,Urticaceae,Cecropia,101,3,0.002,2.7,0.5,0.002166061756508,0.002166061756508,0.002166061756508,1000,1,20,-1.41273516096318,-1.73657667170798,-2.50538234598061,-2.60240282036133
4,Dac_100,Bombuscaro,1000,A_Nat,3,0.061778910796304,0.6,0.965,0.96,1,0.007701070858966,0,0.04320987654321,0.007948919099311,2.97445151921282,0.359391965255157,0.170282217432653,Plant,Bursercaceae,Dacryodes,100,4,0.4,12,13,0.2,9,9,85,1,10,1.85072652339544,2.07974707298167,2.02007045992474,-0.322736804385605
5,Ind_100,Bombuscaro,1000,A_Nat,1,0.038461538461539,0.88,1,1,1,0,0,0.029835390946502,0.000930715947731,1,0.014115092290988,0.433627918745132,Plant,Indet,Indet,100,5,0.252,8.566666667,6.366666667,0.104,6.55,4.6,4,1,4,-0.180477939646781,0.433027809144243,0.556888408022829,0.743309558234331
6,Ind_101,Bombuscaro,1000,A_Nat,1,0.038461538461539,0.92,1,1,1,0,0,0.029835390946502,0.000930715947731,1,0.014115092290988,0.433627918745132,Plant,Indet,Indet,101,6,0.679,8.4,6.85,0.001,0.6,0.6,800,100,0.5,0.22317633645182,0.357876765968963,0.807383314565422,1.58905259109191
7,Ind_102,Bombuscaro,1000,A_Nat,11,2.25827416700025,0.2,0.939310344827586,0.8,1,0.00187969924812,0,0.042181069958848,0.024936964103589,6.95261005026313,0.466828141095242,0.303402129889897,Plant,Indet,Indet,102,7,0.25,9,7,0.115,4.75,3.9,650,1,15,0.315532200426178,0.327852618139276,-0.184643058319282,-1.43391780154523
8,Ind_103,Bombuscaro,1000,A_Nat,6,1.37137835789911,0.52,0.975,0.9,1,0.00187969924812,0,0.042181069958848,0.007257176198273,4.58575641234581,0.284654361201592,0.552178350667936,Plant,Indet,Indet,103,8,7.46,21.6,25.1,0.001,1.4,1.2,700,200,14,11.3901386534418,1.13163589669724,2.17629240021105,1.48143838357215
9,Ind_105,Bombuscaro,1000,A_Nat,1,0.25,0.8,1,1,1,0,0,0.025720164609054,0.002655371469204,1,0.006514657980456,0.747108998406341,Plant,Indet,Indet,105,9,0.15,5,5,0.2,9,9,85,1,11,-0.389761781866776,-0.30037465639612,-0.420464929643853,-0.713963469314523
10,Lor_100,Bombuscaro,1000,A_Nat,1,0.003174603174603,0.96,1,1,1,0,0,0.036008230452675,0.000926114751929,1,0.171009771986971,0,Plant,Loranthaceae,Loranthaceae,100,10,0.25,0.5,0.43,0.15,0.4,0.44,6,1,5,-1.64855043972581,-1.67843270718545,-1.36690455645008,0.448489805593114
